Asin,Timestamp,Pincode,City,Seller,Price
B088VG5GWS,2025-03-24 19:31:07,560001,bangalore,Global Mart India,
B088VG5GWS,2025-03-24 19:31:07,201301,noida,Global Mart India,
B088VG5GWS,2025-03-24 19:31:07,500001,hyderabad,Global Mart India,
B088VG5GWS,2025-03-24 19:31:07,600001,Tamil Nadu,Global Mart India,
B075882FKG,2025-03-24 19:35:49,400097,mumbai,Global Mart India,
B075882FKG,2025-03-24 19:35:49,110001,delhi,Global Mart India,
B075882FKG,2025-03-24 19:35:49,560001,bangalore,Global Mart India,
B075882FKG,2025-03-24 19:35:49,201301,noida,Global Mart India,
B075882FKG,2025-03-24 19:35:49,500001,hyderabad,Global Mart India,
B075882FKG,2025-03-24 19:35:49,600001,Tamil Nadu,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,400097,mumbai,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,110001,delhi,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,560001,bangalore,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,201301,noida,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,500001,hyderabad,Global Mart India,
B0093ABMOQ,2025-03-24 19:37:01,600001,Tamil Nadu,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,400097,mumbai,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,110001,delhi,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,560001,bangalore,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,201301,noida,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,500001,hyderabad,Global Mart India,
B0058ABILW,2025-03-24 19:39:06,600001,Tamil Nadu,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,400097,mumbai,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,110001,delhi,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,560001,bangalore,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,201301,noida,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,500001,hyderabad,Global Mart India,
B0011FY7MA,2025-03-24 19:41:12,600001,Tamil Nadu,Global Mart India,
B002CQU546,2025-03-24 19:42:18,400097,mumbai,Global Mart India,
B002CQU546,2025-03-24 19:42:18,110001,delhi,Global Mart India,
B002CQU546,2025-03-24 19:42:18,560001,bangalore,Global Mart India,
B002CQU546,2025-03-24 19:42:18,201301,noida,Global Mart India,
B002CQU546,2025-03-24 19:42:18,500001,hyderabad,Global Mart India,
B002CQU546,2025-03-24 19:42:18,600001,Tamil Nadu,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,400097,mumbai,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,110001,delhi,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,560001,bangalore,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,201301,noida,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,500001,hyderabad,Global Mart India,
B01DAKILC0,2025-03-24 19:43:24,600001,Tamil Nadu,Global Mart India,
